,Column1,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
2105,2105,GroundGameLA,Organizing Los Angeles block by block. Get involved with @mutualaidLA. #BlackLivesMatter #HomesGuarantee #ServicesNotSweeps,"Hollywood, Los Angeles",630,18345,14911,29,"Inglewood Mayor James Butts told @KnockDotLA the sweeps that are making international headlines have “nothing to do with the Super Bowl.”

????????????????????

#SuperBowlLVI #SuperBowl https://t.co/8lx1bfiPxs https://t.co/3hDpOYbTlY",[]
2106,2106,cassieedunkk,married to Bsanks ????,Isla Nublar,762,1237,15306,0,HI IF YOU ARE PART OF MKE CREW AND ARE ATTENDING SUPERBOWL WEEKEND FESTIVITIES UNMUTE AND READ THE GROUP CHAT TY,[]
2107,2107,AnaheimSports1,"#Anaheim Sports News
(Thank U 4 Follow ?? )
#Angels - #Ducks - Preps & Fan Central
#LTBU #GoAngels #LetsGoAngels #LetsGoDucks #TheHaloWay  #???? #Ohtani #CIFSS",,1893,5384,24372,2,"Who will be in the 2022 Super Bowl? ??
(Besides Dr. Dre, Eminem, Snoop Dogg, Mary J. Blige &amp; Kendrick Lamar ?? ??)
#SuperBowl #NFL #RamsHouse",[]
2108,2108,MinnetonkaTwin,"Master's in Counseling Psychology, Helped Raise my Twin Sister's Kids, Passionate/ Published Writer, Music Fanatic, Grateful Lung Cancer Survivor #resist??","Spring Park, MN",11080,12341,161061,0,Dinner tonight but substituting pork chops instead of beef https://t.co/cgwKl0sXZn #casserole #pork,"['casserole', 'pork']"
2109,2109,PigskinPapers,"#FantasyFootball ??and #NFL blog: https://t.co/TCeusw4jTe; Expert fantasy and NFL analysis. #NFLTwitter. IFB. Skier, hiker, #VT, golfer, live music.","New York, USA",1802,1395,6915,28,Our #NFLPlayoffs Conference Championships Preview has posted in SportsTimeHQ! ?? Check it out for a breakdown of each game including our picks/predictions. Who’s going to the Super Bowl? See: https://t.co/Fbz0iDpGUf #ramshouse #FTTB #Bengals #ChiefsKingdom #NFL #SuperBowl,"['NFLPlayoffs', 'ramshouse', 'FTTB', 'Bengals', 'ChiefsKingdom', 'NFL', 'SuperBowl']"
2110,2110,gt40_1st,,,34,0,25,0,"@BigDave_333 Nah... it's more like 3 dozens rocky mountain oysters, 2 buckets of Velveeta and Superbowl XXXII trophy replica",[]
2111,2111,Ryanl3701,Ryan Lawton KU '23,"Dixon, IL",273,128,2959,47,"Cant get the superbowl off my mind, i need one!",[]
2112,2112,taktcm,,"Miami, FL",137,15,1124,0,@JoeJohnsonOnAir @lukedorrisWPLG @SuperBowl @WPLGLocal10 Black Sunday looks like a beauty indeed ??,[]
2113,2113,Chienreaver,Love life and music and enjoy having a good laugh,Colorado,15,20,15124,0,"Not that I'm watching the Superbowl, I'm not supporting the NFL and it's players, but definitely wouldn't watch the half time show if I did",[]
2114,2114,libertarianmar5,"Marine
Libertarian
Atheist
#Bitcoin",,988,186,6847,0,@_BigBen7 has officially retired and this will go down as the greatest @SuperBowl TD catch ever. https://t.co/C1TRaSDg0j,[]
2115,2115,steffon572,Grown Man with Common Sense - Believer in Man-Kind - Looks like every other big black man with a beard - STEELERNATION!!!,Georgia,2049,485,10791,0,I think we need a @SteelNationPage group Superbowl watch party. Who down!!!!,[]
2116,2116,MME_petite,mood: hopeful • pronouns: she/her/hers • the prodigal napper,where the livin' is easy,1088,1557,167551,210,I see Dr. DRE all on the Superbowl commercials so I figured I would remind y'all that he assaulted Dee Barnes (during Superbowl XXV in 1997) pled no contest to the charges in court and SHE was the one Blacklisted from the rap industry because of it.,[]
2117,2117,Joesmallwood7,Loves horror movies,,41,65,9,0,@PatrickMahomes I am a big Kansas City Chiefs fan i was scream and clapping when you beat the bills my hands where shaking  the whole game  against  the bills i hope you win the superbowl again your  biggest  fan joe,[]
2118,2118,brittandsports,roll tide ?? go pats/bengals ??up the chels. ?? BVB ?? go reds. ?? Charlotte FC. ??Go Isles! ?? she/her,On a plane ??,1772,3007,79020,0,@LumpOfCFC YOU WON A FUCKING SUPERBOWL!! You ungrateful bastard,[]
2119,2119,Riverside_Slgrs,"Tweet about sports, movies, Boston bred",NH,903,450,68496,0,"@JKBOGEN Seven time Superbowl champ is “lucky”

This is you https://t.co/RWiXwMc9Ro",[]
2120,2120,Ssturdivant_85,"Happily married, loving life!",,63,4,173,0,"Saying it now, I'm really feeling a Bengals VS 49ers Superbowl rematch coming; and I know I'm not alone. @49ers",[]
2121,2121,AMDAD91940664,"Just trying to keep my temper under control, until the shit hits the fan, loving every minute of the dumpster fire.",Above,339,236,8983,0,@Helmi_Felis @bilbo_q @QueenKirasGhost We goin to the Superbowl baby.  Who Dey https://t.co/m2k4y7ePSW,[]
2122,2122,lauracain32,Shawn and Aria's mom????. BBN. EKU Alum. avid Reds and Bengals fan,"Erlanger, KY",2890,2364,48926,0,@SGTZach33Alder Hell yeah we are gonna be fucking excited after the horrible years weve had in the past! We are one game away from the superbowl! With a QB that tore his acl/mcl! Came back in less time than we expected! Came back and won the North so yes!,[]
2123,2123,sundeep,"Founder (autonomic acq. by ford, xtreme labs acq. by pivotal). active angel investor, back in stealth mode! more at: https://t.co/SKcuKeBNg8",???????,2134,10462,14394,34,"??We are giving away 3 SuperBowl tickets to @LionClubOff members!??

- Upper level seating with incredible view
- Elevated Tailgate Favourites
- Pre-Game Party
- Open Bar
- NFL Legend hosts
- Weighted draw-The more Lions you own the better!

Enter here:??
https://t.co/cKuVs7bizQ",[]
2124,2124,KelvinSmith93,I'm back y'all follow me,the 757,2879,249,5459,210,I see Dr. DRE all on the Superbowl commercials so I figured I would remind y'all that he assaulted Dee Barnes (during Superbowl XXV in 1997) pled no contest to the charges in court and SHE was the one Blacklisted from the rap industry because of it.,[]
2125,2125,MaxMattwell33,Let's pretend I put something clever and witty here,,114,167,1934,0,@NFLonFOX The LA Rams don't have any Superbowl wins. The St. Louis Rams do though,[]
2126,2126,MrBill11,A Kite Dancing in a Hurricane.                 ??????,954/305.,850,1764,226250,1,"A little behind the scenes preview for a piece to be aired on SUPERBOWL SUNDAY! 

Big thanks Freddy Lomelí and the team at @Telemundo for allowing me to be part of the first ever Hispanic simultaneous telecast of the big game! https://t.co/B7eCOvNnG7",[]
2127,2127,KirkWald,"Friendly curmudgeon,
Catholic,
Lover of Liberty,
Veteran",,2061,926,81848,42,"Mark my words.  With the #SuperBowl coming to La next month, you will no longer see homeless tents or encampments on ANY street.  As soon as the #SuperBowl is over, the tents will come back out.  Visit my website https://t.co/dFKJwWzN0H for more info.  #CA26",['SuperBowl']
2128,2128,buckeyeguy124,"Coach,Father,Husband ? at the desk studying the stock market with my mind on my money and my money on my mind??????",,736,392,31087,0,@MusCLE_apparel @CaliClevelander @KeithBritton86 @cfrelund @BullandFox Jimmy G might be playing in another Super Bowl the Rams got rid of Goff cuz they saw that they couldn't win a   Superbowl with him and Nick Foles that was a fluke he can't even hold a starting job when the team gives him the position.,[]
2129,2129,moricemdphd,"President of @MayoClinicLabs and Chair of Lab Medicine and Pathology @MayoClinic. Tweets are my own, not medical advice.","Rochester, MN",1017,7709,5600,0,Lots of preparations underway for managing #COVID19 for the #SuperBowl  @beckershr Los Angeles braces for Super Bowl amid omicron surge https://t.co/3eni51df8H,"['COVID19', 'SuperBowl']"
